,pick_order,hero_code,attack_damage,receive_damage,recovery,mvp_point,equip,first_pick,mvp,ban
0,1,c2089,450,25832.08,0,70313,['set_speed'],0,0,0
1,2,c2109,37430,29267.89,8761,146398,"['set_counter', 'set_max_hp']",0,0,0
2,3,c4004,0,87955.13,16652,214686,"['set_def', 'set_max_hp', 'set_max_hp']",0,1,0
3,4,c5089,38271,0.0,0,153242,"['set_speed', 'set_torrent']",0,0,0
4,5,c1121,0,0.0,0,0,[],0,0,1
5,1,c2070,22865,115975.34,11651,272694,"['set_speed', 'set_max_hp']",1,1,0
6,2,c1126,4318,41416.14,0,267921,"['set_speed', 'set_acc']",0,0,0
7,3,c6037,0,29936.06,12578,164717,"['set_speed', 'set_immune']",0,0,0
8,4,c1151,0,0.0,0,0,[],0,0,1
9,5,c1137,11564,108576.74,11430,198227,"['set_speed', 'set_def']",0,0,0
0,1,c2089,2049,75991.48,0,391783,['set_speed'],1,0,0
1,2,c4004,0,146839.19,28598,341536,"['set_def', 'set_max_hp', 'set_max_hp']",0,0,0
2,3,c2109,80598,62701.78,15585,398806,"['set_counter', 'set_max_hp']",0,1,0
3,4,c4144,18537,30486.6,0,178211,"['set_cri_dmg', 'set_penetrate']",0,0,0
4,5,c1148,0,0.0,0,0,[],0,0,1
5,1,c6037,271,50356.93,21525,500266,"['set_immune', 'set_speed']",0,1,0
6,2,c1159,1119,93121.8,0,129916,"['set_max_hp', 'set_speed']",0,0,0
7,3,c2070,14995,59378.92,27939,280694,"['set_speed', 'set_max_hp']",0,0,0
8,4,c2071,57510,107691.89,12042,195081,"['set_counter', 'set_penetrate']",0,0,0
9,5,c2024,0,0.0,0,0,[],0,0,1
0,1,c2089,0,0.0,2359,87743,['set_speed'],1,0,0
1,2,c2109,43322,0.0,0,98821,"['set_counter', 'set_max_hp']",0,0,0
2,3,c2008,0,0.0,0,55499,"['set_immune', 'set_shield']",0,0,0
3,4,c2099,41629,19420.33,0,120818,"['set_speed', 'set_cri']",0,1,0
4,5,c1148,0,0.0,0,0,[],0,0,1
5,1,c1159,1749,86914.86,0,112662,"['set_speed', 'set_max_hp']",0,0,0
6,2,c4004,3382,87852.06,30965,266190,"['set_speed', 'set_max_hp']",0,1,0
7,3,c1154,0,0.0,0,0,[],0,0,1
8,4,c2079,2876,27586.11,862,67322,"['set_vampire', 'set_cri']",0,0,0
9,5,c2071,0,57792.86,0,57792,"['set_vampire', 'set_penetrate']",0,0,0
0,1,c2016,13994,0.0,0,18819,"['set_def', 'set_cri_dmg']",0,0,0
1,2,c5082,0,0.0,0,0,[],0,0,1
2,3,c2008,0,6581.68,3849,26115,"['set_immune', 'set_shield']",0,1,0
3,4,c2111,954,0.0,770,13789,"['set_speed', 'set_acc']",0,0,0
4,5,c1159,0,4012.32,0,4012,"['set_speed', 'set_max_hp']",0,0,0
5,1,c2089,0,5744.49,13107,78345,"['set_speed', 'set_acc']",1,1,0
6,2,c2042,1263,22017.54,0,29542,"['set_acc', 'set_speed']",0,0,0
7,3,c1128,0,22457.42,0,28719,"['set_speed', 'set_immune']",0,0,0
8,4,c1151,1302,12387.7,0,38739,"['set_speed', 'set_acc']",0,0,0
9,5,c2090,0,0.0,0,0,[],0,0,1
0,1,c2089,1001,19667.94,0,106929,['set_speed'],1,0,0
