,pick_order,hero_code,attack_damage,receive_damage,recovery,mvp_point,artifact,equip,respawn,mvp,kill_count,position,grade,awaken_grade,attribute_cd,level,job_cd,is_win,first_pick,ban
0,1.0,c2089,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,light,60.0,warrior,2,1.0,1.0
1,2.0,c2090,429.0,37498.46,0.0,37927.0,efh04,"['set_speed', 'set_acc']",0.0,0.0,0.0,1.0,6.0,6.0,dark,60.0,manauser,2,0.0,0.0
2,3.0,c4144,15173.0,22205.82,0.0,59902.0,efa20,"['set_speed', 'set_penetrate']",0.0,0.0,0.0,2.0,6.0,6.0,light,60.0,assassin,2,0.0,0.0
3,4.0,c2073,0.0,88457.28,0.0,88457.0,ef505,"['set_speed', 'set_max_hp']",0.0,1.0,0.0,3.0,6.0,6.0,dark,60.0,warrior,2,0.0,0.0
4,5.0,c2101,0.0,23931.7,0.0,29562.0,ef501,"['set_speed', 'set_immune']",0.0,0.0,0.0,4.0,6.0,6.0,dark,60.0,warrior,2,0.0,0.0
5,1.0,c5149,24331.0,14045.16,0.0,96374.0,efw32,['set_speed'],0.0,0.0,0.0,3.0,6.0,6.0,ice,60.0,warrior,1,0.0,0.0
6,2.0,c2004,5922.0,6418.85,0.0,28451.0,efr13,"['set_immune', 'set_speed']",0.0,0.0,0.0,2.0,6.0,6.0,light,60.0,ranger,1,0.0,0.0
7,3.0,c6062,1224.0,12835.4,0.0,68835.0,efm11,"['set_speed', 'set_acc']",0.0,0.0,0.0,4.0,6.0,6.0,light,60.0,mage,1,0.0,0.0
8,4.0,c1094,29793.0,12835.53,0.0,112441.0,efm03,['set_speed'],0.0,1.0,1.0,1.0,6.0,6.0,ice,60.0,mage,1,0.0,0.0
9,5.0,c5046,0.0,0.0,0.0,0.0,,[],0.0,0.0,0.0,0.0,6.0,6.0,wind,60.0,assassin,1,0.0,1.0
10,1.0,c2016,11736.0,103194.02,2816.0,138805.0,efk01,"['set_vampire', 'set_immune']",0.0,1.0,0.0,1.0,6.0,6.0,dark,60.0,knight,2,1.0,0.0
11,2.0,c6037,768.0,5418.72,7159.0,29140.0,efh12,"['set_speed', 'set_res']",0.0,0.0,0.0,2.0,6.0,6.0,light,60.0,manauser,2,0.0,0.0
