main1,enemy1,main2,enemy2,main3,enemy3,main4,enemy4,main5,enemy5,main_pre_b1,enemy_pre_b1,main_pre_b2,enemy_pre_b2,main_post_b,enemy_post_b,is_first,is_win,first_picked
c2089,c1159,c2016,c2008,c4004,c2109,c5089,c1141,c2046,c1133,c1118,c2090,c1151,c4144,c2046,c1133,0,1,c1159
c5082,c6037,c2089,c2090,c2132,c2070,c2109,c1154,c1103,c2071,c2102,c3122,c1151,c1067,c1103,c2071,0,2,c6037
c2016,c2046,c2109,c1148,c1126,c1151,c1118,c2047,c1130,c2079,c4144,c2089,c1117,c1133,c1126,c2047,0,1,c2046
c1159,c2046,c6037,c1150,c2047,c1014,c1137,c1130,c1131,c2080,c2089,c2109,c2016,c2016,c6037,c2046,1,1,c1159
c1159,c4004,c2089,c2109,c2071,c6037,c2132,c2101,c5089,c1133,c1118,c2024,c1151,c2008,c2132,c1133,1,1,c1159
c2016,c2109,c1154,c2008,c4004,c1102,c5089,c1148,c1128,c2012,c2089,c2089,c4144,c1151,c5089,c2008,1,1,c2016
c1055,c1159,c2109,c2090,c2073,c2132,c2042,c1154,c2099,c2071,c1133,c1133,c1151,c2089,c2099,c1154,0,1,c1159
c2046,c1159,c1133,c1137,c1034,c2008,c5089,c1126,c1112,c1121,c2109,c2090,c2016,c1151,c1034,c1126,0,2,c1159
c1159,c6037,c4004,c2101,c5082,c1133,c4144,c1014,c1126,c1109,c2089,c2016,c6062,c2109,c4004,c1109,1,1,c1159
c2016,c1159,c2008,c2070,c5089,c2089,c1121,c4144,c2012,c2109,c2090,c2090,c1151,c1126,c5089,c4144,0,1,c1159
c2089,c1159,c2109,c5082,c2073,c2008,c5089,c1129,c2111,c1151,c2016,c2069,c1133,c2090,c2111,c2008,0,2,c1159
c6037,c2089,c5082,c4004,c1154,c2109,c2079,c2085,c5089,c1148,c1159,c2090,c2090,c2101,c5089,c1148,0,1,c2089
c1159,c2089,c1133,c2070,c4004,c2132,c1101,c1141,c1091,c1074,c2109,c2101,c2016,c2090,c1091,c2132,1,1,c1159
c1159,c2089,c2008,c2101,c5082,c2046,c2111,c1125,c1148,c2079,c2090,c2016,c4144,c2109,c2111,c1125,0,1,c2089
c2090,c1159,c1055,c1151,c2070,c2109,c2022,c5089,c2016,c2132,c3004,c1133,c2089,c6062,c2022,c1151,0,1,c1159
c2016,c2109,c2132,c2070,c1055,c1148,c2090,c6037,c5001,c1139,c2089,c1159,c1151,c1126,c2132,c1139,0,2,c2109
c2089,c5082,c5001,c2008,c2016,c2109,c2085,c1148,c1154,c1128,c2090,c1159,c1151,c1118,c2089,c1128,1,1,c2089
c1159,c1133,c2008,c2109,c1148,c1089,c2071,c2110,c2132,c4144,c6062,c2016,c2089,c1151,c2071,c4144,1,2,c1159
c2089,c1159,c5082,c1133,c4144,c2101,c2024,c2111,c2019,c1142,c1151,c2109,c2090,c2016,c5082,c2111,0,1,c1159
c2089,c1159,c2070,c6037,c2101,c2109,c2132,c2090,c2095,c2009,c3122,c1055,c3121,c2016,c2132,c2009,1,2,c2089
c2109,c2089,c2016,c1148,c1118,c2008,c6062,c4144,c1055,c2047,c1133,c1151,c1126,c2090,c1055,c2047,0,2,c2089
c1159,c6037,c2008,c2016,c2109,c1151,c1121,c1148,c2022,c5089,c2089,c1133,c3004,c1055,c1121,c5089,1,1,c1159
c2089,c1159,c2070,c6037,c2109,c2071,c2009,c4004,c1151,c6062,c1133,c1055,c1126,c5082,c2009,c6037,1,2,c2089
c1159,c2089,c2109,c2090,c6037,c2008,c1146,c2071,c4144,c5089,c1133,c1055,c1126,c1151,c4144,c5089,0,2,c2089
c1159,c4004,c2109,c5082,c2090,c2071,c1102,c2073,c2012,c5089,c1133,c2089,c1151,c2016,c2012,c5089,1,1,c1159
c2008,c2089,c2016,c2109,c5082,c2070,c2071,c1023,c4004,c2009,c2090,c1159,c4144,c1151,c5082,c2009,0,1,c2089
c1159,c1055,c1137,c2101,c2008,c2111,c1151,c2038,c1141,c2022,c2089,c1133,c2090,c2109,c1151,c2022,1,1,c1159
c2046,c1133,c1150,c1130,c2035,c2004,c4144,c1125,c1080,c2091,c2016,c2016,c2109,c2109,c2035,c2091,0,1,c1133
c1159,c1126,c2008,c1133,c2016,c2082,c1014,c2069,c2014,c2020,c2089,c2101,c6062,c2090,c2014,c1133,1,1,c1159
c1133,c1118,c2069,c1055,c1014,c2004,c2046,c1137,c1007,c1125,c2016,c1117,c2109,c2109,c1133,c2004,1,2,c1133
c1133,c2070,c5046,c4144,c1130,c1117,c2090,c1137,c1159,c2071,c2109,c2089,c2016,c1126,c2090,c1117,1,1,c1133
c4144,c1159,c2022,c2089,c2090,c4004,c2101,c2050,c2047,c1145,c2016,c1133,c2109,c1118,c2047,c2089,0,2,c1159
c2008,c1159,c1151,c1126,c5082,c1133,c2101,c2071,c2095,c5046,c2090,c2089,c4144,c2016,c2101,c1159,0,1,c1159
c1159,c2090,c1151,c2109,c6037,c2042,c1147,c1055,c1137,c2022,c1133,c6062,c1126,c2089,c1159,c2022,1,1,c1159
c1159,c2046,c4004,c1089,c1117,c5089,c1112,c2109,c1141,c2071,c1055,c2089,c2090,c2016,c1141,c5089,1,2,c1159
c1159,c2090,c1133,c2046,c2047,c2016,c2132,c4144,c1119,c2079,c2089,c2101,c1126,c2089,c1119,c2079,0,1,c2090
c1133,c2046,c1118,c1150,c2069,c1014,c1134,c1007,c4144,c2080,c2109,c2016,c1117,c2109,c1133,c2080,1,2,c1133
c2089,c2050,c2109,c2024,c2042,c1125,c2090,c2011,c1141,c1134,c1151,c1126,c1133,c6062,c2109,c2024,1,1,c2089
c1159,c2046,c4004,c1020,c1117,c1147,c2132,c1014,c5082,c5089,c2090,c2109,c1151,c2016,c2132,c5089,0,1,c2046
c1159,c2089,c2008,c2101,c5082,c2111,c2085,c2109,c2071,c2132,c4144,c6037,c2090,c2016,c2085,c2111,1,1,c1159
c2046,c1159,c1150,c1133,c1007,c1014,c2004,c2015,c2080,c2047,c2016,c4144,c2109,c2090,c2080,c1133,0,2,c1159
c2073,c1099,c4004,c5001,c2109,c5082,c2071,c2074,c1144,c5089,c2089,c2016,c1126,c1159,c1144,c5089,0,1,c1099
c2008,c1159,c1151,c2016,c2109,c2046,c5082,c1154,c1121,c2071,c4144,c1118,c2090,c2089,c5082,c1159,0,1,c1159
c1159,c2090,c2132,c2109,c1055,c2042,c2099,c6062,c5089,c4144,c1151,c2089,c1133,c1151,c5089,c4144,1,1,c1159
c4144,c1159,c2101,c2089,c2022,c5089,c4004,c2099,c1117,c2050,c2109,c1151,c2024,c2090,c1117,c2089,0,1,c1159
c2109,c1055,c2024,c2008,c4004,c2132,c2009,c2090,c2082,c2099,c1118,c1151,c1126,c2089,c2082,c2008,1,1,c2109
c1133,c6037,c2069,c4144,c2024,c1137,c2080,c1134,c1112,c1091,c2109,c1126,c1117,c2008,c1112,c1134,1,2,c1133
c1159,c2089,c2109,c4004,c6062,c2132,c2042,c5089,c5004,c1055,c1151,c2090,c1133,c1133,c5004,c5089,0,1,c2089
c2101,c1159,c1151,c1055,c2024,c1133,c2050,c5050,c4144,c6037,c1118,c2089,c1126,c2109,c1151,c1055,0,2,c1159
c1159,c4004,c2090,c2109,c2070,c2132,c2099,c1055,c1154,c2079,c3122,c2089,c3121,c1151,c2099,c2079,1,1,c1159
