main1,enemy1,main2,enemy2,main3,enemy3,main4,enemy4,main5,enemy5,main_pre_b1,enemy_pre_b1,main_pre_b2,enemy_pre_b2,main_post_b,enemy_post_b,is_first,is_win,first_picked
c1117,c1133,c1137,c1125,c2095,c1130,c1134,c2080,c2008,c5089,c6062,c2109,c2089,c2016,c2008,c2080,0,2,c1133
c4144,c4004,c2022,c1159,c2090,c1116,c2099,c2050,c2047,c2089,c2016,c1118,c2109,c1133,c2022,c2089,1,2,c4144
c1159,c4123,c1128,c2109,c2047,c2046,c1131,c1154,c1148,c2079,c2089,c2089,c1126,c1126,c1148,c1154,0,1,c4123
c2101,c1159,c2008,c4004,c2016,c2109,c1154,c2024,c5082,c4144,c2089,c2090,c1133,c6062,c5082,c4144,0,2,c1159
c1133,c1110,c1112,c2050,c1118,c2046,c2102,c1114,c2069,c1074,c4144,c2016,c1117,c2109,c2069,c1114,0,1,c1110
c1159,c2109,c2008,c6037,c5082,c2038,c2071,c4004,c1154,c2090,c2089,c2016,c1133,c1133,c2071,c2090,1,1,c1159
c1144,c1159,c2070,c1151,c2050,c4004,c6037,c2109,c1148,c2071,c2090,c1126,c2101,c2046,c1144,c4004,0,1,c1159
c2016,c1159,c4004,c2089,c5082,c2070,c1128,c2109,c2073,c5089,c2090,c2008,c1151,c2090,c5082,c2070,1,2,c2016
c1126,c1133,c2016,c1103,c2008,c6037,c2109,c2047,c1128,c2070,c4144,c1121,c1117,c1159,c1128,c2047,0,2,c1133
c1133,c2089,c2022,c4004,c1151,c2109,c1147,c1126,c2050,c2132,c6037,c1030,c1159,c1050,c1151,c2109,0,1,c2089
c1089,c1126,c6037,c2070,c2024,c1121,c4144,c6062,c2073,c2042,c1159,c2109,c2109,c1159,c2073,c6062,0,1,c1126
c2016,c2002,c2089,c5016,c2042,c1151,c1137,c2020,c1091,c1133,c4144,c2109,c1117,c6062,c1091,c1133,0,1,c2002
c1133,c2050,c1118,c2008,c2069,c6062,c2080,c2014,c1112,c1023,c1117,c2016,c2109,c2089,c1133,c1023,1,1,c1133
c1159,c6062,c2089,c2016,c1128,c4144,c1147,c4004,c1024,c1112,c1118,c1151,c6037,c2090,c2089,c1112,1,1,c1159
c4144,c2016,c2090,c1159,c2101,c6037,c2022,c1151,c4004,c1119,c2109,c1126,c2024,c2024,c2022,c1151,1,1,c4144
c6037,c1159,c2090,c2132,c1151,c2109,c2016,c4144,c1119,c1148,c1118,c2089,c1133,c6062,c1151,c4144,0,2,c1159
c2008,c1133,c2022,c2024,c1134,c2069,c2109,c2079,c1091,c6062,c1159,c2016,c6037,c1117,c2008,c2024,0,2,c1133
c2008,c1159,c2101,c4004,c5082,c6062,c1128,c1145,c5089,c2109,c4144,c1151,c2090,c2016,c5089,c6062,0,2,c1159
c1159,c2008,c5089,c2101,c1121,c5082,c2024,c1141,c1130,c2089,c2016,c1151,c2109,c2090,c1159,c5082,1,2,c1159
c1133,c6037,c2069,c4144,c2024,c1137,c2080,c1134,c1112,c1091,c2109,c1126,c1117,c2008,c1112,c1134,1,2,c1133
c1159,c2046,c6037,c1150,c2047,c1014,c1137,c1130,c1131,c2080,c2089,c2109,c2016,c2016,c6037,c2046,1,1,c1159
c4004,c1070,c2022,c1159,c2071,c2109,c1132,c5001,c1106,c4144,c1151,c2016,c2090,c2089,c4004,c5001,0,1,c1070
c1159,c1143,c1112,c1133,c1126,c1007,c2004,c1110,c1014,c1023,c4144,c6037,c2089,c2016,c1126,c1007,1,1,c1159
c1159,c2090,c2008,c2016,c1148,c4004,c1128,c2101,c2109,c2050,c2089,c2089,c1126,c1151,c2109,c4004,0,2,c2090
c1159,c2101,c2008,c4004,c2132,c2073,c2111,c2079,c2109,c1134,c1133,c1151,c2089,c2016,c2008,c1134,1,2,c1159
c2089,c2016,c2109,c2008,c4004,c5082,c2111,c1159,c2101,c2071,c1118,c1151,c1151,c2090,c2111,c2008,1,2,c2089
c2016,c1159,c2008,c2109,c2073,c2070,c5082,c6062,c2071,c2101,c2090,c1118,c1151,c1151,c2071,c2070,0,1,c1159
c1144,c1159,c2070,c4004,c1100,c1101,c2022,c1128,c2089,c2079,c2090,c2109,c2101,c2016,c1144,c1128,0,1,c1159
c2089,c1159,c5082,c1133,c4004,c2046,c2050,c1034,c1137,c2099,c1151,c2016,c2090,c2109,c4004,c1133,0,2,c1159
c1159,c1133,c1137,c1130,c1131,c5046,c1134,c1142,c2047,c2079,c2089,c6062,c1126,c2109,c2047,c1133,1,1,c1159
c2046,c1159,c1112,c1117,c1034,c4004,c5089,c1121,c1103,c1137,c2109,c1133,c2016,c2090,c2046,c1117,0,2,c1159
c1159,c2089,c1133,c2008,c2046,c1112,c1125,c1023,c2111,c1134,c2016,c1151,c2109,c2090,c1159,c1134,1,1,c1159
c5001,c1159,c2016,c1126,c2022,c2070,c2050,c2079,c1148,c2109,c1151,c4144,c2089,c1117,c1148,c2070,0,1,c1159
c2016,c1159,c5082,c1133,c1137,c1142,c2008,c1147,c2019,c2012,c1151,c1117,c1118,c2109,c2019,c1147,0,1,c1159
c1126,c2089,c1133,c2070,c5082,c2079,c1119,c2073,c1130,c2050,c2016,c1118,c2109,c1159,c1130,c2050,1,2,c1126
c2016,c1159,c2089,c2070,c4004,c6037,c2109,c2090,c2101,c2074,c1151,c1133,c2008,c1126,c2101,c2070,1,2,c2016
